day,metric,mean,q025,q975,date,specialty
41,nwl104_total,0,0,0,07/11/2022,ENT
41,nwl52_total,397,397,397,07/11/2022,ENT
41,nwm104_total,1,1,1,07/11/2022,ENT
41,nwm52_total,86,86,86,07/11/2022,ENT
41,nwm78_total,1,1,1,07/11/2022,ENT
41,rtt_maxwt,11,11,11,07/11/2022,ENT
41,rtt_meanwt,10,10,10,07/11/2022,ENT
41,rtt_medianwt,10,10,10,07/11/2022,ENT
41,rtt_nwm78_total,1,1,1,07/11/2022,ENT
41,wl_size,484,484,484,07/11/2022,ENT
42,nwl104_total,0,0,0,08/11/2022,ENT
42,nwl52_total,401,401,401,08/11/2022,ENT
42,nwm104_total,1,1,1,08/11/2022,ENT
42,nwm52_total,86,86,86,08/11/2022,ENT
42,nwm78_total,1,1,1,08/11/2022,ENT
42,rtt_maxwt,9,9,9,08/11/2022,ENT
42,rtt_meanwt,8.5,8.5,8.5,08/11/2022,ENT
42,rtt_medianwt,8.5,8.5,8.5,08/11/2022,ENT
42,rtt_nwm78_total,1,1,1,08/11/2022,ENT
42,wl_size,488,488,488,08/11/2022,ENT
43,nwl104_total,0,0,0,09/11/2022,ENT
43,nwl52_total,403,403,403,09/11/2022,ENT
43,nwm104_total,1,1,1,09/11/2022,ENT
43,nwm52_total,87,87,87,09/11/2022,ENT
43,nwm78_total,1,1,1,09/11/2022,ENT
43,rtt_maxwt,9,9,9,09/11/2022,ENT
43,rtt_meanwt,8.5,8.5,8.5,09/11/2022,ENT
43,rtt_medianwt,8.5,8.5,8.5,09/11/2022,ENT
43,rtt_nwm78_total,1,1,1,09/11/2022,ENT
43,wl_size,491,491,491,09/11/2022,ENT
44,nwl104_total,0,0,0,10/11/2022,ENT
44,nwl52_total,402,402,402,10/11/2022,ENT
44,nwm104_total,1,1,1,10/11/2022,ENT
44,nwm52_total,87,87,87,10/11/2022,ENT
44,nwm78_total,1,1,1,10/11/2022,ENT
44,rtt_maxwt,8,8,8,10/11/2022,ENT
44,rtt_meanwt,7.5,7.5,7.5,10/11/2022,ENT
